patent_id,title,abstract,cpc_code,domain
US10001,Neural network training with sparse gradients,"A method for training deep neural networks using sparse gradient updates to reduce computation. The system applies adaptive learning rates and momentum to accelerate convergence in classification tasks.",G06N,Machine Learning / AI
US10002,Convolutional architecture for image recognition,"An improved convolutional neural network architecture for image classification incorporating residual connections, batch normalization, and depthwise separable convolutions to achieve state-of-the-art accuracy.",G06N,Machine Learning / AI
US10003,Transformer model for natural language processing,"A transformer-based architecture employing self-attention mechanisms for natural language understanding. The model pre-trains on large text corpora and fine-tunes on downstream tasks including question answering and sentiment analysis.",G06N,Machine Learning / AI
US10004,Reinforcement learning for robotic control,"A reinforcement learning framework for training robotic agents using policy gradient methods. The system incorporates reward shaping and hierarchical action spaces to improve sample efficiency in manipulation tasks.",G06N,Machine Learning / AI
US10005,Federated learning for privacy-preserving AI,"A federated learning approach enabling model training across distributed devices without sharing raw data. The system uses differential privacy and secure aggregation protocols to protect user information.",G06N,Machine Learning / AI
US10006,Graph neural networks for molecular property prediction,"A graph neural network framework for predicting molecular properties from chemical structures. The system encodes atoms as nodes and bonds as edges, learning representations for drug discovery applications.",G06N,Machine Learning / AI
US10007,Meta-learning for few-shot classification,"A meta-learning algorithm enabling classifiers to generalize from few labeled examples. The system learns task-agnostic representations that rapidly adapt to novel categories through gradient-based optimization.",G06N,Machine Learning / AI
US10008,Generative adversarial network for synthetic data,"A generative adversarial network architecture producing high-fidelity synthetic datasets for data augmentation. The discriminator employs spectral normalization to stabilize training and improve output quality.",G06N,Machine Learning / AI
US20001,Low-power CMOS transistor design for mobile chips,"A complementary metal-oxide-semiconductor transistor design with reduced leakage current for mobile applications. The device employs high-k dielectric materials and multi-gate architectures to improve power efficiency.",H01L,Semiconductor / Electronics
US20002,Quantum dot display with improved color gamut,"A quantum dot display technology achieving wide color gamut through cadmium-free nanocrystals. The system uses photoluminescence tuning to produce precise emission wavelengths for red, green, and blue subpixels.",H01L,Semiconductor / Electronics
US20003,3D NAND flash memory with vertical channel,"A three-dimensional NAND flash memory architecture with vertically stacked cells increasing storage density. The fabrication process uses atomic layer deposition to form uniform charge-trap layers across all tiers.",H01L,Semiconductor / Electronics
US20004,High-electron-mobility transistor for RF applications,"A gallium nitride high-electron-mobility transistor optimized for radio-frequency power amplification. The device features a recessed gate structure and passivation layer to minimize current collapse.",H01L,Semiconductor / Electronics
US20005,Silicon photonics integrated circuit for data centers,"A silicon photonics platform integrating optical waveguides, modulators, and photodetectors on a single chip for high-bandwidth data center interconnects. The system achieves terabit-per-second throughput.",H01L,Semiconductor / Electronics
US20006,Memristor-based neuromorphic computing circuit,"A memristor crossbar array implementing synaptic weights for neuromorphic computing. The circuit performs matrix-vector multiplication in analog domain, reducing energy consumption for inference tasks.",H01L,Semiconductor / Electronics
US20007,Flexible electronics substrate for wearable sensors,"A flexible electronic substrate based on polyimide film with embedded silver nanowire conductors enabling stretchable sensor arrays. The device maintains electrical performance under repeated mechanical deformation.",H01L,Semiconductor / Electronics
US20008,Phase-change memory with improved retention,"A phase-change memory device using germanium-antimony-telluride alloy achieving improved data retention at elevated temperatures. The cell design incorporates a confined geometry to reduce reset current requirements.",H01L,Semiconductor / Electronics
US30001,CRISPR-Cas9 gene editing with enhanced specificity,"A CRISPR-Cas9 gene editing system with engineered nuclease variants exhibiting enhanced on-target specificity. The method employs truncated guide RNAs and high-fidelity Cas9 mutants to minimize off-target cleavage.",C12N,Biotechnology
US30002,mRNA vaccine delivery using lipid nanoparticles,"An mRNA vaccine platform utilizing ionizable lipid nanoparticles for efficient intracellular delivery. The formulation achieves high encapsulation efficiency and controlled release to elicit robust immune responses.",C12N,Biotechnology
US30003,Antibody-drug conjugate for targeted cancer therapy,"An antibody-drug conjugate linking a tumor-targeting antibody to a cytotoxic payload via a cleavable linker. The construct selectively delivers chemotherapy to antigen-expressing cancer cells while sparing healthy tissue.",C12N,Biotechnology
US30004,Microfluidic device for single-cell RNA sequencing,"A microfluidic droplet device enabling high-throughput single-cell RNA sequencing. The system encapsulates individual cells with barcoded hydrogel beads for parallel library preparation and transcriptome profiling.",C12N,Biotechnology
US30005,Protein engineering via directed evolution,"A directed evolution platform for engineering proteins with enhanced thermostability and catalytic activity. The method combines error-prone PCR mutagenesis with high-throughput fluorescence screening to identify improved variants.",C12N,Biotechnology
US30006,Biosensor for real-time glucose monitoring,"An electrochemical biosensor for continuous glucose monitoring based on glucose oxidase immobilized on a graphene electrode. The device achieves high sensitivity and selectivity in interstitial fluid measurements.",C12N,Biotechnology
US30007,CAR-T cell therapy for hematologic malignancies,"A chimeric antigen receptor T-cell therapy targeting CD19-expressing leukemia cells. The CAR construct incorporates co-stimulatory domains to enhance T-cell persistence and anti-tumor efficacy.",C12N,Biotechnology
US30008,Organoid model for drug toxicity screening,"A liver organoid model derived from human induced pluripotent stem cells for high-throughput drug toxicity screening. The system recapitulates key hepatic functions including albumin secretion and cytochrome P450 metabolism.",C12N,Biotechnology
US40001,Perovskite solar cell with improved stability,"A perovskite solar cell incorporating cesium-formamidinium lead halide absorber layers achieving improved thermal and moisture stability. The device uses a hole transport layer modification to reduce ion migration.",H02S,Renewable Energy
US40002,Solid-state lithium battery with ceramic electrolyte,"A solid-state lithium battery employing a sulfide-based ceramic electrolyte achieving high ionic conductivity at room temperature. The cell architecture addresses interfacial resistance through in-situ coating techniques.",H02S,Renewable Energy
US40003,Wind turbine blade with adaptive geometry,"A wind turbine blade with adaptive trailing edge geometry for load control across variable wind conditions. The system uses piezoelectric actuators to dynamically adjust blade camber and reduce fatigue loads.",H02S,Renewable Energy
US40004,Proton exchange membrane fuel cell optimization,"An optimized proton exchange membrane fuel cell with platinum-group metal-free cathode catalysts. The system employs nitrogen-doped carbon supports to enhance oxygen reduction reaction kinetics and durability.",H02S,Renewable Energy
US40005,Thermophotovoltaic system for waste heat recovery,"A thermophotovoltaic system converting industrial waste heat to electricity using tungsten photonic crystal emitters and gallium antimonide photovoltaic cells. The system achieves high spectral efficiency.",H02S,Renewable Energy
US40006,Hydrogen production via photoelectrochemical water splitting,"A photoelectrochemical cell for solar hydrogen production using bismuth vanadate photoanodes. The system incorporates a cobalt phosphate oxygen evolution catalyst to improve charge transfer efficiency.",H02S,Renewable Energy
US40007,Grid-scale vanadium redox flow battery,"A vanadium redox flow battery system for grid-scale energy storage featuring an improved ion exchange membrane. The system achieves high cycle stability and rapid response for frequency regulation applications.",H02S,Renewable Energy
US40008,Concentrated solar power with molten salt storage,"A concentrated solar power plant using parabolic trough collectors and molten salt thermal energy storage. The system enables dispatchable electricity generation during periods of low solar irradiance.",H02S,Renewable Energy
US50001,LiDAR sensor fusion for autonomous navigation,"A sensor fusion architecture combining LiDAR point clouds with camera imagery for autonomous vehicle navigation. The system employs deep learning-based object detection and tracking for real-time scene understanding.",B60W,Autonomous Vehicles
US50002,Path planning algorithm for urban driving,"A motion planning algorithm for autonomous vehicles in complex urban environments using probabilistic roadmaps. The system incorporates pedestrian behavior prediction and traffic rule compliance for safe navigation.",B60W,Autonomous Vehicles
US50003,Vehicle-to-everything communication protocol,"A vehicle-to-everything communication protocol enabling low-latency data exchange between autonomous vehicles and infrastructure. The system uses dedicated short-range communication to coordinate intersection management.",B60W,Autonomous Vehicles
US50004,Simultaneous localization and mapping for robotics,"A simultaneous localization and mapping system for autonomous mobile robots using graph-based optimization. The algorithm fuses wheel odometry with visual and inertial measurements for accurate pose estimation.",B60W,Autonomous Vehicles
US50005,Electric vehicle battery management system,"A battery management system for electric vehicles monitoring cell-level voltage, current, and temperature. The system employs adaptive state-of-charge estimation using extended Kalman filtering for accurate range prediction.",B60W,Autonomous Vehicles
US50006,Radar-based collision avoidance system,"A frequency-modulated continuous-wave radar system for autonomous vehicle collision avoidance. The system detects and classifies objects at long range while maintaining performance in adverse weather conditions.",B60W,Autonomous Vehicles
US50007,High-definition mapping for self-driving vehicles,"A high-definition mapping system for autonomous vehicles aggregating crowd-sourced sensor data. The platform maintains centimeter-accurate lane geometry and semantic annotations for navigation.",B60W,Autonomous Vehicles
US50008,Deep learning perception for pedestrian detection,"A deep learning model for pedestrian detection in autonomous driving scenarios using multi-scale feature pyramids. The system achieves high recall under occlusion and varying illumination conditions.",B60W,Autonomous Vehicles
US60001,Implantable neural interface for brain-computer interface,"An implantable neural interface with high-density electrode arrays for brain-computer interface applications. The device uses wireless telemetry to transmit neural signals with high bandwidth and low power consumption.",A61B,Medical Devices
US60002,Robotic surgical system with haptic feedback,"A robotic surgical system providing haptic force feedback to the surgeon during minimally invasive procedures. The system integrates force sensors at instrument tips with haptic actuators at master controls.",A61B,Medical Devices
US60003,Wearable cardiac monitor with arrhythmia detection,"A wearable cardiac monitor using deep learning algorithms for real-time arrhythmia detection from single-lead ECG. The device transmits alerts to clinicians and stores continuous recordings for retrospective analysis.",A61B,Medical Devices
US60004,Optical coherence tomography for ophthalmology,"An optical coherence tomography system for high-resolution retinal imaging incorporating swept-source laser technology. The device achieves micrometer-resolution cross-sectional imaging for glaucoma and macular degeneration diagnosis.",A61B,Medical Devices
US60005,Drug-eluting stent with controlled release coating,"A drug-eluting coronary stent with a biodegradable polymer coating enabling controlled release of antiproliferative agents. The device reduces restenosis rates while promoting endothelialization after implantation.",A61B,Medical Devices
US60006,3D-printed patient-specific orthopedic implant,"A titanium orthopedic implant fabricated by selective laser melting with patient-specific geometry derived from CT imaging. The porous scaffold promotes osseointegration through biomimetic trabecular architecture.",A61B,Medical Devices
US60007,Continuous glucose monitoring with closed-loop insulin delivery,"A closed-loop insulin delivery system combining continuous glucose monitoring with an algorithm-controlled insulin pump. The system uses model predictive control to maintain euglycemia in type 1 diabetes patients.",A61B,Medical Devices
US60008,Ultrasound-guided drug delivery using microbubbles,"An ultrasound-triggered drug delivery system using microbubble carriers for targeted therapeutic delivery. Acoustic cavitation enhances membrane permeability to facilitate intracellular drug uptake at the target site.",A61B,Medical Devices
